Date,Open,High,Low,Close,Volume,Market Cap
Dec-30-2020,731.317989248,754.803257909,720.620070971,753.752103938,27809473840.69383,83882375417.262
Dec-29-2020,729.785169041,737.589556445,692.840494143,732.943832297,33560625431.582935,82058302031.14748
Dec-28-2020,682.12974047,746.711974872,682.12974047,731.985374426,43965957947.58786,82572772373.9873
Dec-27-2020,635.636073392,707.727119779,629.972352168,683.881508808,29408105948.798786,75386130382.96674
Dec-26-2020,625.556582603,649.758255539,616.066315928,635.630449012,19986054740.754555,71874072129.43272
Dec-25-2020,611.382113595,631.60813,605.402919868,625.399119623,19584229908.451313,70257009800.94087
Dec-24-2020,585.250435334,613.230446742,570.198414957,612.106973917,25875008468.279205,66920036302.47502
Dec-23-2020,637.205159991,637.599744715,562.19335703,587.243686104,22016623613.67007,69727710853.99295
Dec-22-2020,609.121688929,635.279992483,591.02132177,635.279992483,21143128007.717854,70012589619.62695
Dec-21-2020,638.545755017,647.012974377,600.741283702,611.39595163,21788103341.29225,71141544271.93866
Dec-20-2020,659.717654114,659.717654114,626.936869221,639.936581816,19625176203.116863,73932221969.31624
Dec-19-2020,655.127199244,668.961087297,647.281421717,659.957348257,20605945919.77005,74785644445.1421
Dec-18-2020,643.444513826,662.890064589,633.563559275,654.529322299,32211180193.387466,73626723357.33124
Dec-17-2020,637.567152504,675.086558503,630.326991879,644.532271585,32464770188.75662,74173427174.36496
Dec-16-2020,589.156207076,636.77174969,581.908844275,636.77174969,14853794060.064754,68666279763.76693
Dec-15-2020,586.312592578,596.181620904,580.97819159,589.174710094,12501104462.707764,66871715262.24858
Dec-14-2020,590.513204255,591.063281364,576.975374048,585.830926747,13285092245.33701,66560148570.68324
Dec-13-2020,568.04074277,594.40786573,564.499674343,590.398159713,12883086837.63333,66128516592.93795
Dec-12-2020,544.799938166,573.051854068,544.799938166,568.071724637,13077358658.153696,63603071003.472534
Dec-11-2020,558.830476491,558.830476491,536.789332989,545.385177056,16090933180.577879,62156477074.42877
Dec-10-2020,573.748460102,574.487692579,549.501451665,560.295981996,16786263794.833849,63991075370.57099
Dec-09-2020,556.855121774,577.422205889,532.874093954,573.995816622,20405094324.356255,63697896538.32011
Dec-08-2020,591.932557333,594.423944823,554.499859054,556.157757742,13094354178.450588,65996956607.725075
Dec-07-2020,602.213641605,602.85844828,586.09441863,592.59222528,12541614833.203392,67581252695.5934
Dec-06-2020,596.938911543,606.785505299,584.894523995,601.697268376,13355002634.15766,67785938031.35104
Dec-05-2020,568.823974868,596.047596655,563.49121208,595.548506193,18657983308.10796,66795290397.97293
Dec-04-2020,616.551824352,618.836052545,569.723830812,571.978333171,18578754854.95589,67897663570.45096
Dec-03-2020,598.537314268,621.269532426,588.64983249,616.904853214,18849754263.437267,68867173618.92322
Dec-02-2020,586.970964167,602.820206624,578.508053652,598.357253473,29296849357.987724,67424332064.17282
Dec-01-2020,616.183533867,634.754677317,573.516677404,589.8144674,27801311744.23318,68561448547.404945
Nov-30-2020,575.458049058,615.564511095,573.102358025,615.564511095,20300381107.93863,67471025961.74106
Nov-29-2020,538.287029663,574.930757462,532.479617113,573.802384401,15787770057.23106,62527302125.682465
Nov-28-2020,518.547769393,547.708050206,508.183799434,538.321369461,15138980070.966011,59693807461.53013
Nov-27-2020,519.901591907,530.585003983,496.603824221,516.511589801,25719042781.075684,58430782421.45877
Nov-26-2020,570.476136701,575.955317532,486.320554722,518.23509946,31155087716.173134,59254123142.94486
Nov-25-2020,604.610942261,605.824683128,557.893556729,572.319809116,25917481064.8077,67239991438.067604
Nov-24-2020,608.99083457,621.768091939,593.058291343,603.418407357,34719065009.14516,69054347751.60458
Nov-23-2020,560.314836144,609.057922253,552.452761751,608.360619371,33207042698.2737,66663990291.54644
Nov-22-2020,550.711786592,578.750259397,515.23447607,561.982123225,27406674038.013973,62200418544.07661
Nov-21-2020,510.484489648,551.389459971,504.739667268,551.389459971,21431198111.267124,59431059105.29003
Nov-20-2020,471.65228915,513.784907054,471.65228915,509.879561053,17153498152.543404,56536329647.20795
Nov-19-2020,478.874849063,480.438516159,466.296418055,471.625888948,18476367260.256664,53863371587.747856
Nov-18-2020,482.427455557,494.879528171,465.994365101,479.756428717,20614086056.65511,54283181255.88982
Nov-17-2020,461.029994428,484.369166003,461.029994428,483.025220229,13666803243.397312,53417731912.71923
Nov-16-2020,448.698711155,465.201562204,446.37750266,461.602180387,11740238768.401653,51738393719.96255
Nov-15-2020,461.373748035,463.112181474,441.312365361,449.015839118,11047060426.91518,51673927487.23706
Nov-14-2020,476.531036159,476.531036159,453.910922542,462.499749101,13920288683.709352,52613383585.1475
Nov-13-2020,462.771088907,477.181867767,458.445935843,476.451976907,14349713424.488558,52975260765.44899
Nov-12-2020,463.784090606,468.947881898,453.223681108,462.371309759,15104558481.301514,52222107493.443085
Nov-11-2020,451.037645117,474.980197765,450.353635795,464.017197465,15303700857.244804,52556764777.56869
Nov-10-2020,444.377921759,454.482202428,439.669402367,450.367594159,14818758592.08207,50816313089.31213
Nov-09-2020,454.786266087,458.707067889,435.662846072,445.258615926,14727778060.99544,50908996547.00297
Nov-08-2020,435.886745408,459.747487704,433.953858333,455.133898522,18027015604.48351,50522834361.10052
Nov-07-2020,455.821650421,467.707082546,428.309614067,436.08436012,20441258183.803402,51355260975.46573
Nov-06-2020,416.69118261,457.564952401,415.565244923,455.736005307,21090683806.81053,49677931359.506805
Nov-05-2020,402.458293901,420.147284115,397.508574321,416.238824465,15579144258.269035,46143774628.63113
Nov-04-2020,387.962597535,407.623557092,378.301501193,401.774060651,11165254705.09666,44091767235.33133
Nov-03-2020,383.331575993,389.634859607,372.681772551,387.41287207,11099741489.160347,43118282221.233154
Nov-02-2020,396.572484543,403.818551465,380.865690444,384.201793149,11422822896.433895,44215670707.541595
Nov-01-2020,386.708350411,397.173189552,385.325915364,395.485324349,8576498192.594864,44052559038.61572
Oct-31-2020,382.935654875,392.626681183,381.379855806,386.563428677,10543037027.506119,43803552325.27255
Oct-30-2020,387.370760636,391.163501648,374.886930845,383.357277893,12127768326.4197,43297473286.23812
Oct-29-2020,388.808810998,393.164461071,381.355066159,386.735117859,11937811703.093252,44038887973.62652
Oct-28-2020,403.671362474,408.477120659,381.476846588,389.01314445,12850058519.35489,44606623506.48188
Oct-27-2020,393.389766052,409.639744052,390.619462728,403.84218438,12959368782.190647,45230438397.31827
Oct-26-2020,406.123840744,411.788364698,384.759925767,393.73438339,13265450638.119244,45411074338.422226
Oct-25-2020,412.676931245,417.124578618,405.239686622,406.295759838,9283611355.992445,46332490577.23184
Oct-24-2020,409.711515755,416.389970678,407.489831454,412.727660389,10079249596.447544,46656124531.6599
Oct-23-2020,414.319749643,418.825138941,403.76206844,409.400043187,13901313261.369255,46684347444.3752
Oct-22-2020,391.670009101,420.290728773,391.670009101,413.517074183,16498182125.948957,45975664275.73199
Oct-21-2020,368.962422274,400.9086161,368.580551888,391.92282695,14535344579.192616,43456508705.089
Oct-20-2020,379.568507299,380.54838887,367.784578672,369.000854349,10191174721.786827,42265122042.703835
Oct-19-2020,378.115750083,383.882364748,373.581366589,379.977811465,8241124031.633262,42711983662.76135
Oct-18-2020,368.46730115,378.221060061,367.980208855,377.953189114,6931830365.419728,42196882960.765114
